scope,map,rate,comparison,candidate,baseline,metric,direction,n,native_mean,model_mean,aggregate_improvement_pct,mean_paired_improvement_pct,paired_delta_mean,paired_delta_sd,paired_delta_ci95_low,paired_delta_ci95_high,wins,losses,ties,ci_excludes_zero_in_favor_of_model,paired_t_pvalue,paired_effect_size_dz,holm_adjusted_pvalue,holm_significant_in_favor
condition,mexico_city,6p0,learned_vs_max_pressure,all_model,max_pressure,recovered_total,lower,30,483.6666666666667,429.1,11.281874569262575,10.956728568200786,54.56666666666667,35.85188239499242,41.180856918075484,67.95247641525786,27,3,0,yes,3.446151076105453e-09,1.5220028355969453,3.4256322307000495e-07,yes
condition,mexico_city,6p0,schema_v3_vs_native,schema_v3,native_sumo,total_arrived,higher,30,540.6,584.7,8.157602663706996,8.274936899747065,44.1,29.0497195665733,33.25387440235524,54.946125597644766,28,2,0,yes,3.635056169568299e-09,1.5180869439698357,2.1810337017409796e-07,yes
condition,mexico_city,6p0,schema_v3_vs_native,schema_v3,native_sumo,mean_avg_speed_mps,higher,30,7.032388746218514,7.51424482223064,6.851954483762458,6.897032725000534,0.4818560760121263,0.2380083848705198,0.3929922634137887,0.570719888610464,29,1,0,yes,6.016443335050213e-12,2.0245340359511426,4.873319101390673e-10,yes
condition,mexico_city,6p0,schema_v3_vs_native,schema_v3,native_sumo,mean_global_queue,lower,30,128.3409836065574,103.60983606557377,19.269875332107095,19.12598736921669,24.731147540983606,9.541800038498101,21.16858090731989,28.293714174647324,29,1,0,yes,1.37815952606677e-14,2.591874430526878,1.3919411213274377e-12,yes
condition,mexico_city,6p0,schema_v3_vs_native,schema_v3,native_sumo,max_global_queue,lower,30,278.4,191.8,31.10632183908045,30.968000356821268,86.6,23.46618991156249,77.83856454119243,95.36143545880756,30,0,0,yes,1.2314239934496015e-18,3.6904158845714274,1.5392799918120018e-16,yes
condition,mexico_city,6p0,schema_v3_vs_native,schema_v3,native_sumo,mean_global_wait,lower,30,3845.8404371584697,3776.6448087431695,1.799232951703685,1.3259957186779714,69.19562841530043,600.6055757572169,-155.04899791852074,293.4402547491216,16,14,0,no,0.5329633083200982,0.11520976695572906,1.0,no
condition,mexico_city,6p0,schema_v3_vs_native,schema_v3,native_sumo,max_global_wait,lower,30,10832.933333333332,9438.833333333334,12.869090551035718,11.602792037125226,1394.1,2421.8668967383906,489.86157929495266,2298.338420705047,21,9,0,yes,0.0037419612381597487,0.5756303130768586,0.08980706971583396,no
condition,mexico_city,6p0,schema_v3_vs_native,schema_v3,native_sumo,recovered_total,lower,30,799.1666666666666,460.1333333333333,42.42335766423357,42.27254111813193,339.03333333333336,55.2071230619891,318.4209694431164,359.6456972235503,30,0,0,yes,8.711626867785726e-25,6.141115756976706,1.271897522696716e-22,yes
condition,mexico_city,6p0,schema_v3_vs_max_pressure,schema_v3,max_pressure,total_arrived,higher,30,598.0333333333333,584.7,-2.2295301265258223,-2.148801814775304,-13.333333333333334,22.416639960672892,-21.70290440383716,-4.963762262829508,9,21,0,no,0.0028613930510884983,-0.5947962476412589,0.15165383170769042,no
condition,mexico_city,6p0,schema_v3_vs_max_pressure,schema_v3,max_pressure,mean_avg_speed_mps,higher,30,8.020881738767365,7.51424482223064,-6.316474086483465,-6.2541855727622835,-0.5066369165367254,0.23987015993988423,-0.5961958493130948,-0.41707798376035593,1,29,0,no,2.1933822011948306e-12,-2.1121298149953196,3.1584703697205563e-10,no
